journal	paper	url	size_in_kb	author
IJHS-7-1972-Issue-1	Notes: The Sine Table in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_6_Notes_AKBag.pdf	66.0	A K Bag
IJHS-7-1972-Issue-1	News: Symposium on Al–Biruni and the Indian Sciences	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_7_News.pdf	62.0	B V Subbarayappa
IJHS-7-1972-Issue-1	Book Review: Teaching the History of Chemistry	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_8_BookReview.pdf	37.0	A Rehman
IJHS-7-1972-Issue-2	Early Indians on Second Order Sine Differences	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_1_RCGupta.pdf	132.0	R C Gupta
IJHS-7-1972-Issue-2	Jejatta (9th Century AD) and his Informations about Indian Drugs	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_2_PVSharma.pdf	237.0	P V Sharma and G P Sharma
IJHS-7-1972-Issue-2	Asoka (Saraca Indica Linn)— A Cultural and Scientific Evaluation	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_3_TKBiswas.pdf	372.0	T K Biswas and P K Debnath
IJHS-7-1972-Issue-2	Maxima and Minima of Tithis	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_4_SDSharma.pdf	98.0	S D Sharma
IJHS-7-1972-Issue-2	Relativity in the Early Twenties: Many–Sided Reactions to a Great Theory	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_5_VVRaman.pdf	600.0	V V Raman
IJHS-7-1972-Issue-2	Notes: An Historical Note: The Meson Mass Value in the History of Yukawa Theory	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_6_Notes_VMukherjee.pdf	165.0	V Mukherji
IJHS-7-1972-Issue-2	Book Reviews	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_7_BookReviews.pdf	46.0	
IJHS-7-1972-Issue-2	News	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_2_8_News.pdf	24.0	
IJHS-8-1973-Issue-1&2	Set Theory in Jaina School of Mathematics	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_1_LCJain.pdf	570.0	L C Jain
IJHS-8-1973-Issue-1&2	Jyotisa in Kerala	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_2_KDSwaminathan.pdf	185.0	K D Swaminathan
